id,first_name,last_name,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier
0515,Seattle,Seahawks,SEA,DST,,49,DST,robust,6.46,13,0.0200000000000005,0.8688036,5.3825,6.8615,10
0515,Seattle,Seahawks,SEA,DST,,49,DST,weighted,6.17890457142857,19,0.0606397605359845,0.618292059289383,5.31,6.73396220930233,10
0516,Dallas,Cowboys,DAL,DST,,49,DST,average,6.49533333333333,9,0.022333333333334,0.507370344685878,5.675,6.839,8
0516,Dallas,Cowboys,DAL,DST,,49,DST,robust,6.45,14,0.0350000000000001,0.357306600000001,5.675,6.839,8
0516,Dallas,Cowboys,DAL,DST,,49,DST,weighted,6.44939028571429,9,0.0520490507888471,0.560698881044077,5.6,6.83842441860465,8
0517,New York,Giants,NYG,DST,,49,DST,average,6.0262,24,0.0668999999999995,0.646972333256995,5.2232,6.594,13
0517,New York,Giants,NYG,DST,,49,DST,robust,6.056,24,0.0244999999999997,0.88956,5.2232,6.594,13
0517,New York,Giants,NYG,DST,,49,DST,weighted,6.03053727685325,23,0.0295537065052951,0.744979234029347,5.2,6.5938358662614,13
0518,Philadelphia,Eagles,PHI,DST,,49,DST,average,5.966,25,0.0232000000000001,1.28236032377799,3.925,6.8395,13
0518,Philadelphia,Eagles,PHI,DST,,49,DST,robust,6.01,26,0.162500000000001,0.827290800000001,3.925,6.8395,13
0518,Philadelphia,Eagles,PHI,DST,,49,DST,weighted,5.794408,28,0.0925317142857143,1.31566711349563,3.4,6.73694476744186,13
0519,Arizona,Cardinals,ARI,DST,,49,DST,average,6.1732,22,0.0883000000000003,0.758323941333781,5.172,6.9288,12
0519,Arizona,Cardinals,ARI,DST,,49,DST,robust,6.053,25,0.0754999999999999,0.622692,5.172,6.9288,12
0519,Arizona,Cardinals,ARI,DST,,49,DST,weighted,6.11288883509834,21,0.064725234493193,0.865558019255513,5,6.85426569767442,12
0520,Washington,Redskins,WAS,DST,,49,DST,average,6.327,17,0.00649999999999995,0.717056483130862,5.46,7.092,10
0520,Washington,Redskins,WAS,DST,,49,DST,robust,6.195,20,0.0175000000000001,0.133434000000001,5.46,7.092,10
0520,Washington,Redskins,WAS,DST,,49,DST,weighted,6.36363561270802,11,0.0292895500324182,0.832270498386106,5.3,7.10055523255814,10
0521,Chicago,Bears,CHI,DST,,49,DST,average,7.05133333333333,4,0.342933333333333,1.2574047346287,5.755,8.652,3
0521,Chicago,Bears,CHI,DST,,49,DST,robust,7.055,4,0.352,1.156428,5.755,8.652,3
0521,Chicago,Bears,CHI,DST,,49,DST,weighted,7.10721257142857,3,0.255026,1.3734441240057,5.74,8.63596330275229,3
0522,Detroit,Lions,DET,DST,,49,DST,average,6.542,8,0.0574999999999992,1.29155719966249,4.74,7.636,6
0522,Detroit,Lions,DET,DST,,49,DST,robust,6.56,9,0.0370000000000008,1.067472,4.74,7.636,6
0522,Detroit,Lions,DET,DST,,49,DST,weighted,6.33090583963691,13,0.0313687438945314,1.38371162006349,4.44,7.51631976744186,6
0523,Green Bay,Packers,GBP,DST,,49,DST,average,6.1436,23,0.1475,0.785705288260172,5.024,6.8264,12
0523,Green Bay,Packers,GBP,DST,,49,DST,robust,6.18,21,0.0230000000000006,0.163086,5.024,6.8264,12
0523,Green Bay,Packers,GBP,DST,,49,DST,weighted,6.12364078668684,20,0.0343014069591527,0.909448731434991,4.8,6.8200761627907,12
0524,Minnesota,Vikings,MIN,DST,,49,DST,average,6.654,7,0.135333333333334,0.50198605558322,5.85,7.073,4
0524,Minnesota,Vikings,MIN,DST,,49,DST,robust,6.642,7,0.0484999999999998,0.326172,5.85,7.073,4
0524,Minnesota,Vikings,MIN,DST,,49,DST,weighted,6.65818914285714,5,0.0888354294359184,0.581090291368617,5.7,7.07106395348837,4
0525,Tampa Bay,Buccaneers,TBB,DST,,49,DST,average,6.7328,5,0.0637999999999996,1.39593166021836,4.81,8.0072,4
0525,Tampa Bay,Buccaneers,TBB,DST,,49,DST,robust,6.755,5,0.1085,1.245384,4.81,8.0072,4
0525,Tampa Bay,Buccaneers,TBB,DST,,49,DST,weighted,6.56810971255673,7,0.099750855413876,1.55338075988577,4.5,7.93535639534884,4
0526,Atlanta,Falcons,ATL,DST,,49,DST,average,5.9526,26,0.0610999999999997,0.53636069952971,5.08,6.174,13
0526,Atlanta,Falcons,ATL,DST,,49,DST,robust,6.139,23,0.0844999999999994,0.1215732,5.08,6.174,13
0526,Atlanta,Falcons,ATL,DST,,49,DST,weighted,5.95465830559758,26,0.129645734169008,0.616637721893019,4.9,6.17357763975155,13
0527,Carolina,Panthers,CAR,DST,,49,DST,average,6.227,21,0.0686,0.691712849863776,5.14,6.813,11
0527,Carolina,Panthers,CAR,DST,,49,DST,robust,6.175,22,0.0775000000000006,0.7353696,5.14,6.813,11
0527,Carolina,Panthers,CAR,DST,,49,DST,weighted,6.179836,18,0.0285633209422951,0.800788332479722,5,6.80744680851064,11
0528,Los Angeles,Rams,LAR,DST,,49,DST,average,6.47233333333333,11,0.0461666666666663,0.587719320764598,5.64,6.963,7
0528,Los Angeles,Rams,LAR,DST,,49,DST,robust,6.512,11,0.0395000000000003,0.88956,5.64,6.963,7
0528,Los Angeles,Rams,LAR,DST,,49,DST,weighted,6.33778628571429,12,0.0194759373244002,0.574986627367082,5.62,6.86597674418605,7
0529,New Orleans,Saints,NOS,DST,,49,DST,average,7.21633333333333,3,0.324266666666667,1.03537078704523,5.665,7.9525,2
0529,New Orleans,Saints,NOS,DST,,49,DST,robust,7.175,3,0.27,0.88956,5.665,7.9525,2
