id,first_name,last_name,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier,points_vor,rank,floor_vor,floor_rank,ceiling_vor,ceiling_rank,points_wk1,points_wk2,points_wk3
0501,Buffalo,Bills,BUF,DST,,49,DST,average,102.468,19,1.03757142857144,14.5714589458133,80.56,117.0416,12,-11.6924285714286,135,-15.01,136,-8.3244,130,5.765,5.455,5.7425
0501,Buffalo,Bills,BUF,DST,,49,DST,robust,103.97,15,0.745000000000005,14.75187,80.56,117.0416,12,-10.3796666666667,132,-15.01,136,-8.3244,130,5.765,5.455,5.7425
0501,Buffalo,Bills,BUF,DST,,49,DST,weighted,103.12779462499,16,0.458459596106863,17.1285975271929,77.8,117.5978,12,-9.60128989742105,132,-16.4333333333333,130,-4.50973174924167,117,5.765,5.455,5.7425
0502,Indianapolis,Colts,IND,DST,,49,DST,average,103.482714285714,15,0.337571428571437,14.9886010846973,80.4,116.6374,12,-10.6777142857143,130,-15.17,137,-8.7286,137,6.4125,6.2725,5.8
0502,Indianapolis,Colts,IND,DST,,49,DST,robust,103.3175,16,0.324999999999989,21.838698,80.4,116.6374,12,-11.0321666666667,135,-15.17,137,-8.7286,137,6.4125,6.2725,5.8
0502,Indianapolis,Colts,IND,DST,,49,DST,weighted,104.99005132051,14,1.45852440084543,16.7688742261511,78,117.324984883721,12,-7.73903320190141,127,-16.2333333333333,128,-4.78254686552073,119,6.4125,6.2725,5.8
0503,Miami,Dolphins,MIA,DST,,49,DST,average,94.4854285714286,30,7.99971428571428,11.607427441493,71.35,97.8152,16,-19.675,159,-24.22,163,-27.5508,182,6.97,5.64,6.68
0503,Miami,Dolphins,MIA,DST,,49,DST,robust,94.82,30,9.02375000000001,5.722836,71.35,97.8152,16,-19.5296666666667,156,-24.22,163,-27.5508,182,6.97,5.64,6.68
0503,Miami,Dolphins,MIA,DST,,49,DST,weighted,93.4235420442282,28,0.829955658240323,13.2968592160817,64,96.6434813953489,16,-19.3055424781832,155,-30.2333333333333,160,-25.4640503538928,178,6.97,5.64,6.68
0504,New England,Patriots,NEP,DST,,49,DST,average,112.862,4,1.86257142857141,12.7164419477118,91.35,124.289,4,-1.29842857142857,101,-4.22,107,-1.077,102,6.8075,8.125,7.275
0504,New England,Patriots,NEP,DST,,49,DST,robust,112.01,4,1.73,12.943098,91.35,124.289,4,-2.33966666666666,109,-4.22,107,-1.077,102,6.8075,8.125,7.275
0504,New England,Patriots,NEP,DST,,49,DST,weighted,109.483847145165,7,0.523187882253382,10.7661138848378,90,114.232469565217,4,-3.24523737724655,111,-4.23333333333333,110,-7.87506218402427,127,6.8075,8.125,7.275
0505,New York,Jets,NYJ,DST,,49,DST,average,103.278142857143,16,0.341499999999996,12.0706973957203,79.937,109.1242,12,-10.8822857142857,131,-15.633,139,-16.2418,157,6.3675,6.0375,5.605
0505,New York,Jets,NYJ,DST,,49,DST,robust,103.1325,17,0.741249999999994,11.519802,79.937,109.1242,12,-11.2171666666667,136,-15.633,139,-16.2418,157,6.3675,6.0375,5.605
0505,New York,Jets,NYJ,DST,,49,DST,weighted,102.376887635434,18,1.91016247918445,13.7174076019484,74,108.396774418605,12,-10.3521968869776,134,-20.2333333333333,141,-13.710757330637,149,6.3675,6.0375,5.605
0506,Cincinnati,Bengals,CIN,DST,,49,DST,average,102.120714285714,20,1.47792857142858,20.9037639581738,72.08,126.122,12,-12.0397142857143,137,-23.49,161,0.756,95,5.885,6.195,6.03
0506,Cincinnati,Bengals,CIN,DST,,49,DST,robust,100.37,26,2.62,7.70952,72.08,126.122,12,-13.9796666666667,146,-23.49,161,0.756,95,5.885,6.195,6.03
0506,Cincinnati,Bengals,CIN,DST,,49,DST,weighted,96.0943916506284,26,1.47434346642589,15.800300903298,65,105.197869565217,12,-16.634692871783,150,-29.2333333333333,159,-16.9096621840243,157,5.885,6.195,6.03
0507,Cleveland,Browns,CLE,DST,,49,DST,average,108.404571428571,8,0.424142857142854,10.3529114101622,91.1,116.7658,8,-5.75585714285714,117,-4.47,109,-8.60019999999999,136,7.075,7.165,6.44
0507,Cleveland,Browns,CLE,DST,,49,DST,robust,109.505,8,0.168750000000003,10.348548,91.1,116.7658,8,-4.84466666666665,117,-4.47,109,-8.60019999999999,136,7.075,7.165,6.44
0507,Cleveland,Browns,CLE,DST,,49,DST,weighted,109.211976499544,8,0.589194082998475,12.0557761235635,89,116.970756521739,8,-3.51710802286749,112,-5.23333333333333,113,-5.13677522750253,121,7.075,7.165,6.44
0508,Tennessee,Titans,TEN,DST,,49,DST,average,97.1165714285714,27,0.790000000000006,10.5091791442393,79.2,104.9416,14,-17.0438571428571,154,-16.37,141,-20.4244,168,5.535,5.58,6.4375
0508,Tennessee,Titans,TEN,DST,,49,DST,robust,97.785,27,0.46875,10.852632,79.2,104.9416,14,-16.5646666666667,149,-16.37,141,-20.4244,168,5.535,5.58,6.4375
0508,Tennessee,Titans,TEN,DST,,49,DST,weighted,99.2754182957805,21,1.39577381350438,11.2209764686929,78,105.252276744186,14,-13.453666226631,143,-16.2333333333333,128,-16.8552550050556,156,5.535,5.58,6.4375
0509,Jacksonville,Jaguars,JAC,DST,,49,DST,average,105.527857142857,14,2.14742857142856,12.7258194609377,83.72,115.531,7,-8.63257142857142,128,-11.85,130,-9.83499999999998,139,6.1,6.64,6.675
0509,Jacksonville,Jaguars,JAC,DST,,49,DST,robust,109.21,10,1.02000000000001,12.794838,83.72,115.531,7,-5.13966666666666,120,-11.85,130,-9.83499999999998,139,6.1,6.64,6.675
0509,Jacksonville,Jaguars,JAC,DST,,49,DST,weighted,109.602068459631,6,0.254156637276395,10.8055297874207,92.4,115.748377906977,7,-3.12701606278063,109,-1.83333333333333,103,-6.35915384226492,124,6.1,6.64,6.675
0510,Pittsburgh,Steelers,PIT,DST,,49,DST,average,106.216,13,1.71071428571429,13.3692699305605,81.87,113.5418,9,-7.94442857142856,125,-13.7,134,-11.8242,146,5.7675,6.3375,6.675
0510,Pittsburgh,Steelers,PIT,DST,,49,DST,robust,109.4625,9,0.591249999999988,6.28029359999999,81.87,113.5418,9,-4.88716666666667,118,-13.7,134,-11.8242,146,5.7675,6.3375,6.675
0510,Pittsburgh,Steelers,PIT,DST,,49,DST,weighted,105.442847873022,13,0.980192605597949,15.9861734880493,81,113.685017391304,9,-7.28623664938907,125,-13.2333333333333,123,-8.42251435793732,131,5.7675,6.3375,6.675
0511,Denver,Broncos,DEN,DST,,49,DST,average,107.959571428571,10,0.79457142857143,11.658183530812,88.5,118.4172,10,-6.20085714285715,119,-7.06999999999999,121,-6.94879999999999,123,6.715,6.1325,6.435
0511,Denver,Broncos,DEN,DST,,49,DST,robust,108.5325,11,0.83874999999999,4.83327600000001,88.5,118.4172,10,-5.81716666666667,121,-7.06999999999999,121,-6.94879999999999,123,6.715,6.1325,6.435
0511,Denver,Broncos,DEN,DST,,49,DST,weighted,108.536222806812,10,1.26373515189033,14.1556766578998,84,118.889977906977,10,-4.19286171559956,115,-10.2333333333333,119,-3.21755384226492,110,6.715,6.1325,6.435
